Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,1,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,1,1,24,9,ACCELERATING,false,0,0,0,0,0,,,0,0,0
5,1,1,33,9,NOTHING,false,0,0,0,0,0,,,0,0,0
6,1,1,42,9,NOTHING,false,0,0,0,0,0,,,1,0,4
7,1,1,51,9,NOTHING,false,0,0,1,0,0,,,2,0,12
8,1,1,66,15,USED_BOOST,true,5,0,0,0,0,,,2,1,20
9,1,1,81,15,NOTHING,true,4,0,1,0,0,,,2,1,24
10,1,1,96,9,HIT_MUD,false,0,1,0,1,0,,,2,1,29
11,1,1,105,6,HIT_MUD,false,0,3,0,1,0,,,2,1,23
12,1,1,105,6,FIXED_CAR,false,0,1,0,1,0,,,2,1,23
13,1,1,113,8,ACCELERATING,false,0,1,0,1,0,,,2,1,23
14,1,1,122,9,ACCELERATING,false,0,1,0,1,0,,,2,2,27
15,1,1,131,9,NOTHING,false,0,1,1,1,0,,,2,2,31
16,1,1,140,9,USED_BOOST,true,5,1,0,1,0,,,2,4,43
17,1,1,149,9,NOTHING,true,4,1,1,1,0,,,2,5,51
18,1,1,158,9,USED_BOOST,true,5,1,0,1,0,,,2,5,55
19,1,1,167,8,HIT_MUD,false,0,2,0,1,0,,,3,5,56
20,1,1,175,8,NOTHING,false,0,2,0,1,0,,,3,5,56
21,1,1,183,8,NOTHING,false,0,2,0,1,0,,,3,5,56
22,1,1,191,8,NOTHING,false,0,2,0,1,0,,,3,5,56
23,1,1,199,8,NOTHING,false,0,2,0,1,0,,,3,5,56
24,1,1,207,8,NOTHING,false,0,2,0,1,0,,,3,5,56
25,1,1,215,8,NOTHING,false,0,2,0,1,0,,,3,5,56
26,1,1,223,8,NOTHING,false,0,2,0,1,0,,,3,5,56
27,1,1,231,8,NOTHING,false,0,2,0,1,0,,,3,5,56
28,1,1,239,8,NOTHING,false,0,2,0,1,0,,,3,5,56
29,1,1,247,8,NOTHING,false,0,2,0,1,0,,,3,5,56
30,1,1,255,6,HIT_MUD,false,0,3,0,1,0,,,3,5,53
31,1,1,255,6,FIXED_CAR,false,0,1,0,1,0,,,3,5,53
32,1,1,263,8,ACCELERATING,false,0,1,0,1,0,,,3,5,53
